16AM_Basemap_010-D4878-40,2096,0,0
16AM_EU-Low_010-D4878-30,5158,90,30
16AM_EU-Mid_010-D4878-10,832,48,0
16AM_NA-Low_010-D4878-20,2948,0,0
16AM_NA-Mid_010-D4878-00,1956,0,0
17AM_Basemap_010-D1547-40,2022,60,0
17AM_Basemap_010-D1547-41,1910,796,0
17AM_EU-Bot_010-D1547-50,6000,996,0
17AM_EU-Low_010-D1547-30,9629,2574,260
17AM_EU-Low_010-D1547-31,10450,3769,5
17AM_EU-Mid_010-D1547-10,782,30,0
17AM_NA-Low_010-D1547-20,5607,5345,302
17AM_NA-Low_010-D1547-21,25000,8346,0
17AM_NA-Mid_010-D1547-00,4660,579,44
18AM_Basemap_010-D1584-40,2000,678,0
18AM_EU-Mid_010-D1584-10,1000,612,0
18AM_EU-TRUCK_010-D1584-90,2000,0,0
18AM_NA-Low_010-D1584-50,5000,1122,0
18AM_NA-Mid_010-D1584-00,15000,2979,0
18AM_NA-TRUCK_010-D1584-80,3000,1482,0
